filename,onethird_movement,twothird_movement,lastthird_movement,total_frame,inflorescence_close,inflorescence_open,inflorescence_shedding,length of petal(0.1mm)
VID_20220410_165459.mp4,43,16,34,93,2,1,0,127
VID_20220410_165634.mp4,44,29,44,117,0,1,8,118
VID_20220410_165810.mp4,69,94,117,280,1,1,6,129
VID_20220411_154749.mp4,160,87,151,398,2,2,11,122
VID_20220411_154915.mp4,101,62,135,298,3,2,0,163
VID_20220411_155023.mp4,37,27,38,102,3,2,5,148
VID_20220411_155124.mp4,118,76,99,293,3,2,0,120
VID_20220411_155347.mp4,61,34,57,152,2,1,0,145
VID_20220411_155503.mp4,83,57,132,272,2,1,1,172
VID_20220411_155632.mp4,34,34,64,132,1,1,8,128
VID_20220411_160156.mp4,53,30,91,174,2,4,0,160
VID_20220411_160259.mp4,288,94,59,441,3,3,1,116
VID_20220411_160641.mp4,56,58,59,173,2,4,0,168
VID_20220411_160809.mp4,32,140,134,306,0,1,2,160
VID_20220411_160931.mp4,41,25,36,102,3,2,5,125
VID_20220411_161335.mp4,168,48,56,272,3,1,0,159
VID_20220411_161451.mp4,60,61,152,273,1,1,9,133
VID_20220411_161711.mp4,57,34,38,129,1,1,5,122
VID_20220411_164610.mp4,173,131,328,632,0,3,6,147
VID_20220411_165152.mp4,92,102,111,305,0,1,1,145
VID_20220411_165457.mp4,88,84,213,385,2,2,9,112
VID_20220411_165827.mp4,69,49,55,173,2,4,0,181
VID_20220411_170448.mp4,97,73,140,310,2,3,9,116
VID_20220411_170611.mp4,35,53,118,206,0,1,2,150
VID_20220411_170910.mp4,42,71,200,313,1,3,7,108
VID_20220411_170951.mp4,15,16,29,60,1,2,2,153
